,title,title_len,title_in_content,content_len,include_rate
205,复工复产需下政策“精准棋”,8,7,466,0.875
206,增强仁爱之心以百姓心为心,6,6,629,1.0
207,学术打压于人类进步无益,6,4,1232,0.6666666666666666
208,人民日报社论为新时代党的历史使命而努力奋斗,9,7,807,0.7777777777777778
209,战胜“疫魔”信心比黄金还珍贵,9,8,394,0.8888888888888888
210,把八一精神生生不息地传承下去,7,7,817,1.0
211,战略误判，后果严重,4,3,706,0.75
212,在矢志奋斗中谱写新时代青春之歌,9,9,649,1.0
213,虚拟现实技术渐入佳境,3,3,646,1.0
214,长三角一体化，关键在高质量,6,6,832,1.0
215,让信用成为市场经济“硬通货”,7,7,751,1.0
216,常坐坐矮板凳,4,4,711,1.0
217,好干部是管出来的,6,6,791,1.0
218,敢闯才有新路,5,4,688,0.8
219,新优势，激荡内生增长力量,7,5,970,0.7142857142857143
220,团结合作是抗击疫情最有力武器,7,7,686,1.0
221,战胜巨大考验，成就伟大强国,7,5,1298,0.7142857142857143
222,为世界经济增长带来新的更多机遇,10,10,767,1.0
223,与香港青年书向暴力说不，守护香港和你们的未来！,15,14,903,0.9333333333333333
224,以“全链条”思维保护版权,8,6,596,0.75
225,以更广泛的全球应对破解治理困境,9,8,487,0.8888888888888888
226,互联互通，为世界经济注入活水,7,7,979,1.0
227,辛识平品味特殊时期的丰收味道,7,5,463,0.7142857142857143
228,辛识平这届青年“守护力”，满格！,10,10,549,1.0
229,人民日报和音志合者，不以山海为远,9,7,815,0.7777777777777778
230,亿万人民的共同事业,4,4,4954,1.0
231,|高质量发展，让你我生活更美好,10,4,123,0.4
232,顺应历史潮流的正确抉择,5,5,689,1.0
233,弘扬多边主义中国坚守至诚如一,8,7,919,0.875
234,打造既有意义又有意思的思想政治理论课,9,8,1003,0.8888888888888888
235,筑起坚不可摧的生命防线,5,5,455,1.0
236,真抓实干做好新阶段“三农”工作,8,8,877,1.0
237,望海楼关键时期的关键考察,5,4,808,0.8
238,“现场”岂能成“秀场”,8,7,966,0.875
239,爱港，就捍卫香港法治尊严,7,6,533,0.8571428571428571
240,每一个生命都值得尊重每一次努力都值得铭记,11,7,1136,0.6363636363636364
241,让初心和使命照亮新时代长征路,8,7,4457,0.875
242,严防享乐奢靡之风反弹,5,3,765,0.6
243,中国经济有底气行稳致远,6,6,695,1.0
244,精准答好疫情之下复工复产考题,8,4,373,0.5
245,我们能够战胜任何艰难险阻,5,1,677,0.2
246,为世界共同繁荣作出更大贡献,7,7,704,1.0
247,冰雪世界期待中国故事,5,5,979,1.0
248,在全社会弘扬自强与助残精神,8,8,631,1.0
249,破解信任赤字共创亚洲和世界美好未来,8,6,876,0.75
250,请看投机政客何俊仁的真面目,7,4,909,0.5714285714285714
251,祝福中国！祝福世界！,6,4,662,0.6666666666666666
252,在抗疫中彰显劳动价值,6,6,572,1.0
253,清明，重温绿叶与根的情感,8,7,753,0.875
254,“独角兽”上市，莫陷概念炒作,8,7,761,0.875
255,抗战，前所未有的伟大民族觉醒,7,7,1341,1.0
256,同心共筑中国梦,4,4,391,1.0
257,深入推进全面依法治国,4,4,982,1.0
258,推进融媒体建设做大做强主流舆论,10,6,655,0.6
259,冲劲韧劲实劲,3,3,659,1.0
260,共同绘制精谨细腻的“工笔画”,8,5,863,0.625
261,引导智库进一步高质量发展,5,5,687,1.0
262,让乡村振兴蓝图化为壮美现实,7,7,651,1.0
263,望海楼保持绿色发展战略定力,6,5,617,0.8333333333333334
264,守初心，时刻牢记根本宗旨,6,6,1013,1.0
265,激活中国经济高质量发展的巨大空间,8,7,450,0.875
266,用“好差评”评出好服务,8,6,621,0.75
267,创造不负时代的人间奇迹,6,4,900,0.6666666666666666
268,在党的领导下谋划好“十四五”,8,8,554,1.0
269,阅读，成就更美好的自我,7,7,566,1.0
270,自信的底气和前行的力量,7,6,539,0.8571428571428571
271,踏平坎坷成大道,4,0,1859,0.0
272,“黑暴”裹着“港独”泥沙冲击香港，国安立法刻不容缓,15,10,629,0.6666666666666666
273,疫情防控，需要更多“火雷速度”,10,10,446,1.0
274,“形式”在“指尖上”“主义”在“脑袋里”,16,16,728,1.0
275,全面贯彻新时代党的治藏方略,8,8,739,1.0
276,巩固拓展减税降费成效,5,5,714,1.0
277,做好“六稳”工作落实“六保”任务,10,10,674,1.0
278,中国一定能够“过关”,6,6,876,1.0
279,有力有序推进“揭榜挂帅”,7,7,710,1.0
280,以全面从严治党新成效推进国家治理现代化,9,9,726,1.0
281,疫情防控要坚持全国一盘棋,5,5,761,1.0
282,望海楼牢牢稳住粮食安全压舱石,6,5,662,0.8333333333333334
283,助力抗疫中欧应摒弃噪音无分彼此,7,5,728,0.7142857142857143
284,确保香港“一国两制”实践行稳致远的重大举措,11,11,886,1.0
285,支持中小微企业克服疫情影响,7,7,720,1.0
286,最大的政绩是造福人民,6,6,796,1.0
287,做好深入细致的群众工作,5,5,744,1.0
288,中国同亚欧以及世界共享发展机遇,8,7,650,0.875
289,坚决反对扶贫领域的形式主义官僚主义,7,7,584,1.0
290,携手创造更加光明的美好未来,6,5,579,0.8333333333333334
291,牢牢把住粮食安全主动权,4,4,749,1.0
292,以科学精神做好疫情防控工作,7,6,686,0.8571428571428571
293,直面挑战，为人类进步事业而奋斗,8,6,1271,0.75
294,“反中乱港”的民族败类黎智英必被牢牢钉在历史耻辱柱上,15,13,986,0.8666666666666667
295,打赢脱贫攻坚战决胜全面小康,6,5,477,0.8333333333333334
296,全面推进政务处分规范化法治化,6,6,658,1.0
297,冰雪运动为全民健身添彩,6,5,667,0.8333333333333334
298,以优良作风推动高质量发展,5,5,834,1.0
299,新时代中国与世界共享未来,7,7,670,1.0
300,为共创共享美好幸福生活而努力,7,6,817,0.8571428571428571
301,望海楼一带一路为世界带来三重惊喜,8,7,751,0.875
302,努力培养造就一流思政课教师队伍,6,6,627,1.0
303,涵养“收放自如”的本领,6,6,698,1.0
304,用发展的办法解决发展中的问题,9,9,618,1.0
305,更加开放的中国更多机遇的世界,9,9,794,1.0
306,“把中国人的饭碗牢牢端在自己手中”,12,12,759,1.0
307,坚决把基层负担减下来,6,6,545,1.0
308,“最美逆行者”抒写人类命运与共的时代篇章,13,13,712,1.0
309,防疫情不松懈抓发展不动摇,7,4,668,0.5714285714285714
310,疫情防控和复工复产考验各地治理能力,9,9,573,1.0
311,勇立潮头开拓进取,3,3,792,1.0
312,以改革创新焕发传统文艺魅力,7,7,574,1.0
313,决不能让这个形势发生逆转,6,6,553,1.0
314,共产党员，关键时刻冲得上去,5,5,690,1.0
315,解决疫情第一线问题贵在“精准”,8,8,513,1.0
316,说说“年代感”,6,4,713,0.6666666666666666
317,奋发有为推进高质量发展,4,4,848,1.0
318,我国能够从容应对全球粮食市场异动,6,5,936,0.8333333333333334
319,望海楼让香港社会尽快重回正常轨道,8,7,553,0.875
320,美国某些人涉港狂妄言行将自食恶果,8,5,732,0.625
321,未来是属于青年的,5,5,1027,1.0
322,务实功求实效育新机开新局,6,5,616,0.8333333333333334
323,筑牢疫情联防联控的坚固防线,7,6,762,0.8571428571428571
324,望海楼助残脱贫决胜小康,5,4,702,0.8
325,人民需要好电影,4,4,378,1.0
326,不能纵容违法乱象继续破坏香港,7,7,821,1.0
327,在战疫战贫中淬炼伟大民族精神,7,7,966,1.0
328,县城如何留住“小镇青年”,7,6,611,0.8571428571428571
329,多些“现场干”，少些“会场谈”,12,12,542,1.0
330,构建新发展格局的三大现实动力,8,6,991,0.75
331,踏踏实实把民营经济办得更好,5,5,923,1.0
332,彰显共产党人的信仰底色,5,4,865,0.8
333,把“阅兵精度”刻在每一个岗位,10,10,248,1.0
334,中国的饭碗要端在自己手中,7,7,863,1.0
335,向着中华民族伟大复兴的光辉彼岸奋勇前进,8,5,3584,0.625
336,美国不应将世界经济拖入“衰退陷阱”,10,8,793,0.8
337,望海楼撑警就是撑香港未来,6,5,817,0.8333333333333334
338,在摸爬滚打中增长才干,5,5,585,1.0
339,着力提升国民经济体系整体效能,6,6,714,1.0
340,我们应该向沙县小吃学习什么？,8,7,587,0.875
341,落实“爱国者治港”，保障“一国两制”行稳致远,12,12,713,1.0
342,科学把握新发展阶段的历史方位,8,8,713,1.0
343,“战略性”贸易保护毫无战略眼光,7,7,853,1.0
344,通过清理推动法规文件减量提质增效,8,7,571,0.875
345,望海楼斩断民进党伸向香港的黑手,7,5,657,0.7142857142857143
346,推特脸谱真的不要脸面了吗？,8,8,705,1.0
347,5G，打开巨大发展空间,6,5,803,0.8333333333333334
348,为疫情防控筑牢法治堤坝,6,6,648,1.0
349,望海楼国旗神圣庄严不容侵犯,6,5,493,0.8333333333333334
350,加强沟通务实合作促进中欧经济共同发展,9,9,680,1.0
351,解决实际问题的能力是检验年轻干部的“试金石”,12,10,598,0.8333333333333334
352,绑架中国为哪般？,5,2,304,0.4
353,破除形式主义的“套路”,6,5,616,0.8333333333333334
354,在全社会营造浪费可耻、节约为荣的氛围,11,11,1369,1.0
355,让“互联网+”助力寻医问药,7,6,775,0.8571428571428571
356,掀起中非友好合作新热潮,5,5,754,1.0
357,问计于民诠释“人民至上”,7,6,673,0.8571428571428571
358,为了湖北继续“拼”,6,6,312,1.0
359,做党和人民的“骆驼”,6,6,692,1.0
360,中印相向而行维护边境和平符合双方共同利益,10,10,920,1.0
361,共享机遇共创未来,4,2,536,0.5
362,正确对待功过得失,3,2,537,0.6666666666666666
363,以人民立场整治群众身边腐败,7,7,648,1.0
364,把思政课办得越来越好,5,5,793,1.0
365,百年大党何以风华正茂,5,4,1089,0.8
366,在形成新发展格局中率先突破,8,8,765,1.0
367,在接续奋斗中书写新的辉煌,8,8,779,1.0
368,提高生物安全治理能力筑牢国家安全基石,9,7,666,0.7777777777777778
369,生命至上是中国抗疫最重要的经验,9,9,1066,1.0
370,心无旁骛努力工作，为党和人民做事,7,7,909,1.0
371,进一步激发市场蕴藏的活力,6,6,706,1.0
372,开放共赢的中国方案点亮世界,8,7,764,0.875
373,中国力量中国精神中国效率的集中展现,9,9,813,1.0
374,民进党当局莫再阻挡台胞返乡之路,8,6,477,0.75
375,这次特殊的约谈传递特殊的信号,9,9,343,1.0
376,以消费结构升级推动构建新发展格局,8,8,1010,1.0
377,开放，感受进博会的“磁场效应”,10,9,845,0.9
378,新时代中国青年应永怀初心砥砺前行,8,7,964,0.875
379,为人民创造更美好的生活,7,7,678,1.0
380,等一等数字时代“走得慢”的人,8,8,750,1.0
381,严防境外疫情输入警惕不理智言论“误伤”守法归国者,14,12,551,0.8571428571428571
382,人民日报清除阴谋论的“政治病毒”,8,7,713,0.875
383,百尺竿头加把劲，如期打赢脱贫攻坚战,7,5,658,0.7142857142857143
384,减负不减责，松绑不松懈,7,6,556,0.8571428571428571
385,铸牢使命意识,3,3,660,1.0
386,钟声共同推进网络空间全球治理,6,5,686,0.8333333333333334
387,从并肩战“疫”中感受命运与共,11,9,565,0.8181818181818182
388,乡土文化发展文化人有责,6,5,758,0.8333333333333334
389,牢牢把握教育改革发展的“九个坚持”,10,10,715,1.0
390,全体起立，“老师好！”,8,8,489,1.0
391,莫让谣言与偏见破坏疫情防控,7,6,994,0.8571428571428571
392,万众一心、同甘共苦的团结伟力的生动展示,9,9,654,1.0
393,每个奋斗的你都了不起,6,5,226,0.8333333333333334
394,办出中国特色世界一流大学,5,5,711,1.0
395,向科学要含金量，建设思政“金课”,10,10,723,1.0
396,辛识平以青春之名，为梦想奔跑,8,6,465,0.75
397,以新发展格局开创发展新局面,7,6,753,0.8571428571428571
398,疫情冲击有多大，取决于如何应对,9,9,692,1.0
399,扎根扶贫一线的强大力量,6,4,412,0.6666666666666666
400,中国经济逆势而上开新局,6,3,914,0.5
401,打造更加紧密的中非命运共同体,7,7,631,1.0
402,坚守初心方能继往开来,4,2,775,0.5
403,巩固疫情防控成果决不能前功尽弃,6,4,441,0.6666666666666666
404,某些美国政客的臆想，实属庸人自扰,8,6,833,0.75
405,解放思想，担当作为,4,4,776,1.0
406,事实是最好的辟谣者,6,6,723,1.0
407,快办、省事，“放管服”这么搞很好,11,6,407,0.5454545454545454
408,“五一”将至切勿“放飞自我”,10,9,562,0.9
409,锻造真金迎战风雨,4,3,579,0.75
410,汇聚奋进新征程的强大力量,7,7,1982,1.0
411,守护绵延后世的生态长江,6,3,1191,0.5
412,“五一”来了，景区服务要念好“四字诀”,14,13,670,0.9285714285714286
413,辛识平全球抗疫刻不容缓,4,2,479,0.5
414,恩格斯诞辰200年致敬不朽,6,4,1042,0.6666666666666666
415,激活乡村振兴新动能,5,5,926,1.0
416,逆大势不可能得民心,5,4,882,0.8
417,西藏民主改革是历史必然,5,5,536,1.0
418,风云雷电任叱咤,4,0,506,0.0
419,辛识平我们如何正确打开“网红”,8,7,522,0.875
420,不断造福人民,3,3,888,1.0
421,弥足珍贵的信心和动力,5,5,815,1.0
422,推动互联网贷款良性创新,5,4,693,0.8
423,站在人与自然和谐共生的高度谋划经济社会发展,10,10,824,1.0
424,着力营造风清气正的换届生态,7,7,856,1.0
425,做好立法监督等工作更好助力经济社会发展和改革攻坚,12,12,546,1.0
426,群众希望领导干部是啥样,7,7,704,1.0
427,西部开放新格局带来更多惊喜,7,6,744,0.8571428571428571
428,钟声势在必行势不可挡,3,2,557,0.6666666666666666
429,让民营企业创造活力充分迸发,6,6,554,1.0
430,推动新时代中央和国家机关党的建设高质量发展,9,9,678,1.0
431,稳就业应围绕“实”字做文章,9,8,792,0.8888888888888888
432,国内国际双循环畅通经济方能“气血充盈”,11,9,1037,0.8181818181818182
433,客观认识全球产业链上的中国市场,8,8,652,1.0
434,不忘合作初心继续携手前进,7,7,657,1.0
435,人民日报昂扬精神铆足“牛劲”,7,5,749,0.7142857142857143
436,望海楼大国外交展现大国担当,6,5,725,0.8333333333333334
437,望海楼美国打“香港牌”注定徒劳,9,5,696,0.5555555555555556
438,澳门与祖国共繁荣,5,4,771,0.8
439,震慑“台独”分裂、促进祖国和平统一的法制利剑,12,10,1294,0.8333333333333334
440,牢牢植根人民，不断造福人民,7,7,709,1.0
441,从历史文化遗产中感悟和增强文化自信,9,9,970,1.0
442,阔步走进中国特色社会主义新时代,7,6,625,0.8571428571428571
443,“国民共进”激发企业活力,7,7,723,1.0
444,坚定信心，着力办好自己的事,7,7,654,1.0
445,群众工作要做实做细做到位,8,8,588,1.0
446,精准落实疫情防控和复工复产各项举措,9,9,698,1.0
447,为创新发展奠定人才之基,6,6,765,1.0
448,望海楼志愿，发乎于心的承诺,7,6,573,0.8571428571428571
449,读懂总书记对扶贫干部的关怀关注关切,9,6,496,0.6666666666666666
450,把家国情怀融入不懈奋斗中,7,6,279,0.8571428571428571
451,深化对做好经济工作的规律性认识,8,8,757,1.0
452,望海楼不知道你是谁，却知道你为了谁,12,11,601,0.9166666666666666
453,中国专利申请跃升世界第一可贵在哪,8,8,486,1.0
454,管网公司成立“牵一发而动全身”,6,6,649,1.0
455,经常过一过“安检门”,6,6,695,1.0
456,公平正义的阳光为何普照,5,3,669,0.6
457,战“疫”这一刻，每个人都是战士,12,12,815,1.0
458,不忘“一国两制”初心切实维护基本法权威,11,8,812,0.7272727272727273
459,海南再次见证中国加大开放的步伐,8,6,894,0.75
460,汇聚体育的力量,4,4,445,1.0
461,努力建设更高水平的平安中国,7,7,726,1.0
462,咬定生态文明建设不放松,6,3,460,0.5
463,有序有效支持企业复工,5,4,891,0.8
464,预防青少年网络沉迷刻不容缓,5,5,697,1.0
465,以现代大流通畅通国内大循环,8,8,855,1.0
466,推动形成绿色发展方式,5,5,668,1.0
467,减贫伟大奇迹彰显中国制度优势,7,7,769,1.0
468,防控疫情要用好大数据,6,5,641,0.8333333333333334
